Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.86498628957558E-08,0.00199056182136681,0.00116844799147214,0,0,0,0.0299227589680342,4.64430780114595E-06,-7.0005651433527E-12,1.45948993644989E-11,4.78982197003375E-06,-7.65792898200085E-08,5.96248441172554E-06,0,0,0,0,0,0,package://CMU/meshes/base_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://CMU/meshes/base_link.STL,,Base Link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R Hip 1,0,-4.84590396801287E-06,0.0058197522890202,0,0,0,0.000490672959387971,9.79960981258813E-09,6.86988039009494E-25,7.48714405775146E-25,1.27003133712708E-08,-1.82197770189421E-24,4.84290883693977E-09,0,0,0,0,0,0,package://CMU/meshes/R Hip 1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU/meshes/R Hip 1.STL,,Motor Connector 1-1,Origin_R Hip 1,Axis_R Hip 1,R Hip 1,revolute,0.021005,0,0,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
R Hip 2,1.73472347597681E-18,-1.04083408558608E-17,0.0107683205354071,0,0,0,0.00100456223004492,3.43974392373393E-08,1.65436122510606E-24,3.77937467267445E-25,4.56704869048961E-08,5.93271866884364E-24,1.53564582402186E-08,0,0,0,0,0,0,package://CMU/meshes/R Hip 2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU/meshes/R Hip 2.STL,,Motor Connector 2-1,Origin_R Hip 2,Axis_R Hip 2,R Hip 2,revolute,0,0,0.0076962,1.5708,1.3137,0,R Hip 1,0,0,1,0,0,0,0,,,,,,,,
R Thigh,3.4045876255287E-05,-0.00794652833573034,-0.00422524406507302,0,0,0,0.00259524215854131,2.5711579287713E-07,-1.65436122510606E-23,-9.92616735063633E-24,9.07351429374604E-08,-6.76389432955441E-08,1.81981229583593E-07,0,0,0,0,0,0,package://CMU/meshes/R Thigh.STL,1,1,0,1,0,0,0,0,0,0,package://CMU/meshes/R Thigh.STL,,Thighs-1,Origin_R Thigh,Axis_R Thigh,R Thigh,revolute,0,0,0.013139,-1.5708,0,1.5708,R Hip 2,1,0,0,0,0,0,0,,,,,,,,
R Foreleg,-3.46944695195361E-18,-0.0181496911312229,0.0103925983154121,0,0,0,0.00244939435652077,1.23016334442146E-06,-7.94093388050907E-23,-1.32348898008484E-23,4.6841924702673E-07,5.60585013825991E-07,7.71398751277428E-07,0,0,0,0,0,0,package://CMU/meshes/R Foreleg.STL,0,1,1,1,0,0,0,0,0,0,package://CMU/meshes/R Foreleg.STL,,ForeShin-1,Origin_R Foreleg,Axis_R Foreleg,R Foreleg,revolute,0,-0.015893,-0.0084505,0,0,0,R Thigh,1,0,0,0,0,0,0,,,,,,,,
R Shin,0.0140256804445087,-0.0178589294661325,-4.16581932726201E-05,0,0,0,0.00129204638168326,2.24735619458436E-07,2.0998355289699E-07,-1.17966041874364E-09,2.14026500941594E-07,1.64402157659205E-09,4.33803544747729E-07,0,0,0,0,0,0,package://CMU/meshes/R Shin.STL,1,0,0,1,0,0,0,0,0,0,package://CMU/meshes/R Shin.STL,,Shin Right-1,Origin_R Shin,Axis_R Shin,R Shin,revolute,0,-0.053567,0.035952,0,1.5708,0,R Foreleg,0,0,1,0,0,0,0,,,,,,,,
R Foot,0.00196158710807664,-0.00495386678362997,1.04083408558608E-17,0,0,0,0.000518724222366593,3.09991927163781E-09,5.53673637613224E-10,-3.25702366192755E-24,2.03818859395337E-08,-1.68021061924834E-24,2.17998808799417E-08,0,0,0,0,0,0,package://CMU/meshes/R Foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU/meshes/R Foot.STL,,Foot-1,Origin_R Feet,Axis_R Feet,R Foot,revolute,0.034784,-0.039603,0,0,0,0,R Shin,0,0,1,0,0,0,0,,,,,,,,
L Hip 1,0,-4.84590396801293E-06,-0.0058197522890202,0,0,0,0.000490672959387971,9.79960981258813E-09,-6.86988039009494E-25,4.11998778007802E-25,1.27003133712708E-08,1.82698343635532E-24,4.84290883693977E-09,0,0,0,0,0,0,package://CMU/meshes/L Hip 1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU/meshes/L Hip 1.STL,,Motor Connector 1-2,Origin_L Hip 1,Axis_L Hip 1,L Hip 1,revolute,-0.021005,0,0,1.5708,0,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
L Hip 2,-5.83673689989739E-06,1.90268539655789E-06,0.0107683205354071,0,0,0,0.00100456223004492,4.56704869048962E-08,5.79026428787119E-23,1.13622249205107E-23,3.4397439237339E-08,6.09640050550157E-24,1.53564582402183E-08,0,0,0,0,0,0,package://CMU/meshes/L Hip 2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU/meshes/L Hip 2.STL,,Motor Connector 2-2,Origin_L Hip 2,Axis_L Hip 2,L Hip 2,revolute,0,0,-0.0077,1.5708,0.35552,0,L Hip 1,0,0,-1,0,0,0,0,,,,,,,,
L Thigh,3.88553478720098E-05,0.00721943338269791,0.00537503323441895,0,0,0,0.00259524215854131,2.5711579287713E-07,-3.30872245021211E-24,-1.32348898008484E-23,1.12894744228785E-07,-7.8140614409021E-08,1.59821628292269E-07,0,0,0,0,0,0,package://CMU/meshes/L Thigh.STL,1,1,0,1,0,0,0,0,0,0,package://CMU/meshes/L Thigh.STL,,Thighs-2,Origin_L Thigh,Axis_L Thigh,L Thigh,revolute,0,0,0.013141,1.5708,0,-3.1416,L Hip 2,-1,0,0,0,0,0,0,,,,,,,,
L Foreleg,4.80947161668813E-06,-0.0182723759948702,0.0105531781379369,0,0,0,0.00244939435652077,1.23016334442146E-06,-1.12082973000935E-22,1.05879118406788E-22,4.6841924702673E-07,5.60585013825991E-07,7.71398751277428E-07,0,0,0,0,0,0,package://CMU/meshes/L Foreleg.STL,0,1,1,1,0,0,0,0,0,0,package://CMU/meshes/L Foreleg.STL,,ForeShin-2,Origin_L Foreleg,Axis_L ForeLeg,L Foreleg,revolute,0,0.014316,0.010906,-3.1291,0,0,L Thigh,1,0,0,0,0,0,0,,,,,,,,
L Shin,0.0138646318493914,-0.0179804426844579,-4.16581932726097E-05,0,0,0,0.00129204638168326,2.24735619458436E-07,2.0998355289699E-07,-1.17966041874359E-09,2.14026500941595E-07,1.64402157659204E-09,4.33803544747729E-07,0,0,0,0,0,0,package://CMU/meshes/L Shin.STL,1,0,0,1,0,0,0,0,0,0,package://CMU/meshes/L Shin.STL,,Shin Right-2,Origin_L Shin,Axis_L Shin,L Shin,revolute,0,-0.05357,0.03595,-1.5708,1.5604,-1.5708,L Foreleg,0,0,1,0,0,0,0,,,,,,,,
L Foot,0.00179478072071362,-0.00507840883683265,-2.77555756156289E-17,0,0,0,0.000518724222366595,3.09991927163783E-09,5.53673637613222E-10,1.29246970711411E-23,2.03818859395338E-08,4.35420332327275E-24,2.17998808799418E-08,0,0,0,0,0,0,package://CMU/meshes/L Foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU/meshes/L Foot.STL,,Foot-2,Origin_L Feet,Axis_L Feet,L Foot,revolute,0.03479,-0.0396,0,0,0,-0.0021136,L Shin,0,0,1,0,0,0,0,,,,,,,,
