Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.865E-08,0.13049,-0.0010906,0,0,0,0.029923,4.6443E-06,1.4595E-11,7.0006E-12,5.9625E-06,7.6579E-08,4.7898E-06,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/base_link.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/base_link.STL,,Body Hub^Cassie_mock_up-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L Hip 1,0.021005,0.12932,0.0062198,0,0,0,0.00049067,9.7996E-09,7.0191E-25,7.3896E-25,1.27E-08,-1.0393E-24,4.8429E-09,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/L Hip 1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/L Hip 1.STL,,Motor Connector 3^Cassie_mock_up-1,Origin_L Hip 1,,Joint 0L,revolute,-0.04201,0,0,1.5708,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
L Hip 2,-1.7347E-18,0,-0.0098704,0,0,0,0.0010046,3.4397E-08,4.3427E-23,2.3169E-24,4.567E-08,-1.917E-23,1.5356E-08,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/L Hip 2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/L Hip 2.STL,,Motor Connector 4^Cassie_mock_up-1,Origin_L Hip 2,Axis_L Hip 2,Joint 1 L,revolute,0.021005,0.10918,0.0080962,1.5708,-1.4127,0,L Hip 1,0,0,1,0,0,0,0,,,,,,,,
L thigh,3.4046E-05,-0.0079465,-0.0042252,0,0,0,0.0025952,2.5712E-07,-1.3235E-23,-6.6174E-24,9.0735E-08,-6.7639E-08,1.8198E-07,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/L thigh.STL,1,1,0,1,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/L thigh.STL,,Copy of Thighs^Cassie_mock_up-1,Origin_L thigh,Axis_L thigh,Join 2 L,revolute,0,0,-0.0075,-2.7684,0,1.5708,L Hip 2,1,0,0,0,0,0,0,,,,,,,,
L foreleg,-3.4694E-18,-0.01815,0.010393,0,0,0,0.0024494,1.2302E-06,-1.2739E-22,7.9409E-23,4.6842E-07,5.6059E-07,7.714E-07,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/L foreleg.STL,0,1,1,1,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/L foreleg.STL,,Copy of ForeShin^Cassie_mock_up-1,Origin_L foreleg,Axis_L foreleg,Joint 3 L,revolute,0,-0.015893,-0.0084505,1.7931,0,-3.1416,L thigh,1,0,0,0,0,0,0,,,,,,,,
L Shin,-0.021572,0.029362,4.1658E-05,0,0,0,0.001292,2.2474E-07,2.0998E-07,1.1797E-09,2.1403E-07,-1.644E-09,4.338E-07,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/L Shin.STL,1,0,0,1,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/L Shin.STL,,Shin Left^Cassie_mock_up-1,Origin_L Shin,,Joint 4 L,revolute,0,-0.081401,-0.016224,1.5708,1.136,1.5708,L foreleg,0,0,0,0,0,0,0,,,,,,,,
L feet,0.0011481,0.0026645,0,0,0,0,0.00051872,3.0999E-09,5.5367E-10,3.6189E-25,2.0382E-08,1.3959E-24,2.18E-08,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/L feet.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/L feet.STL,,Copy of Foot^Cassie_mock_up-1,Origin_L feet,,End Effector L,revolute,-0.0021664,7.7104E-05,0,0,0,-0.28389,L Shin,0,0,0,0,0,0,0,,,,,,,,
R Hip 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/R Hip 1.STL,1,1,1,1,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/R Hip 1.STL,,MirrorMotor Connector 3^Cassie_mock_up-4,Origin_R Hip 1,,Joint 0 R,revolute,0.04201,0,0,1.5708,0,3.1416,base_link,0,0,0,0,0,0,0,,,,,,,,
R Hip 2,-1.7347E-18,0,0.0098704,0,0,0,0.0010046,3.4397E-08,3.5982E-23,-2.4454E-24,4.567E-08,2.1931E-23,1.5356E-08,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/R Hip 2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/R Hip 2.STL,,MirrorMotor Connector 4^Cassie_mock_up-4,Origin_R Hip 2,Axis_R Hip 2,Joint 1 R,continuous,0.021005,0.10918,-0.0080962,-1.5708,1.4127,0,R Hip 1,0,0,1,,,,,,,,,,,,
R thigh,3.4046E-05,-0.0079465,0.0042252,0,0,0,0.0025952,2.5712E-07,1.4889E-23,2.4815E-24,9.0735E-08,6.7639E-08,1.8198E-07,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/R thigh.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Cassie_mock_up.SLDASM/meshes/R thigh.STL,,MirrorCopy of Thighs^Cassie_mock_up-4,Origin_R thigh,Axis_R thigh,Joint 2 R,revolute,0,0,0.0075,2.7684,0,1.5708,R Hip 2,1,0,0,0,0,0,0,,,,,,,,
