Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.6164E-18,0.0054434,-4.8459E-06,0,0,0,0.0075876,2.0607E-07,1.4523E-24,6.8572E-24,2.4038E-06,-2.5896E-24,2.4439E-06,0,0,0,0,0,0,package://CMU/meshes/base_link.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://CMU/meshes/base_link.STL,,Base Link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R Hip 1,0,-4.8459E-06,0.0058198,0,0,0,0.00049067,9.7996E-09,6.8699E-25,7.5211E-25,1.27E-08,-1.8421E-24,4.8429E-09,0,0,0,0,0,0,package://CMU/meshes/R Hip 1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://CMU/meshes/R Hip 1.STL,,Motor Connector 1-1,Origin_R Hip 12,Axis_R Hip 12,R Hip 1,revolute,0.021005,0,0,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
R Hip 2,1.7347E-18,-1.0408E-17,0.010768,0,0,0,0.0010046,3.4397E-08,3.3087E-24,3.4972E-25,4.567E-08,5.9028E-24,1.5356E-08,0,0,0,0,0,0,package://CMU/meshes/R Hip 2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://CMU/meshes/R Hip 2.STL,,Motor Connector 2-1,Origin_R Hip 22,Axis_R Hip 22,R Hip 2,revolute,0,0,0.0076962,1.5708,1.3137,0,R Hip 1,0,0,1,0,0,0,0,,,,,,,,
R Thigh,3.40458762552905E-05,-0.00794652833573034,-0.00422524406507302,0,0,0,0.00259524215854131,2.5711579287713E-07,-1.32348898008484E-23,-9.92616735063633E-24,9.07351429374604E-08,-6.76389432955441E-08,1.81981229583593E-07,0,0,0,0,0,0,package://CMU/meshes/R Thigh.STL,1,1,0,1,0,0,0,0,0,0,package://CMU/meshes/R Thigh.STL,,Thighs-1,Origin_R Thigh2,Axis_R Thigh2,R Thigh,revolute,0,0,0.013139,-1.5708,0,1.5708,R Hip 2,1,0,0,0,0,0,0,,,,,,,,
R Foreleg,0,-0.0181496911312229,0.0103925983154121,0,0,0,0.00244939435652077,1.23016334442146E-06,-7.94093388050907E-23,3.97046694025453E-23,4.6841924702673E-07,5.60585013825991E-07,7.71398751277428E-07,0,0,0,0,0,0,package://CMU/meshes/R Foreleg.STL,0,1,1,1,0,0,0,0,0,0,package://CMU/meshes/R Foreleg.STL,,ForeShin-1,Origin_R Foreleg,Axis_R Foreleg,R Foreleg,revolute,0,-0.015893,-0.0084505,0,0,0,R Thigh,1,0,0,0,0,0,0,,,,,,,,
R Shin,0.014026,-0.017859,-4.1658E-05,0,0,0,0.001292,2.2474E-07,2.0998E-07,-1.1797E-09,2.1403E-07,1.644E-09,4.338E-07,0,0,0,0,0,0,package://CMU/meshes/R Shin.STL,1,0,0,1,0,0,0,0,0,0,package://CMU/meshes/R Shin.STL,,Shin Right-1,Origin_R Shin,Axis_R Shin,R Shin,revolute,0,-0.053567,0.035952,0,1.5708,0,R Foreleg,0,0,1,0,0,0,0,,,,,,,,
R Feet,0.0019616,-0.0049539,1.0408E-17,0,0,0,0.00051872,3.0999E-09,5.5367E-10,-1.6544E-24,2.0382E-08,-1.6027E-24,2.18E-08,0,0,0,0,0,0,package://CMU/meshes/R Feet.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://CMU/meshes/R Feet.STL,,Foot-1,Origin_R Feet,Axis_R Feet,R Feet,revolute,0.034784,-0.039603,0,0,0,0,R Shin,0,0,1,0,0,0,0,,,,,,,,
L Hip 1,0,-4.8459E-06,0.0058198,0,0,0,0.00049067,9.7996E-09,6.8699E-25,7.4871E-25,1.27E-08,-1.8421E-24,4.8429E-09,0,0,0,0,0,0,package://CMU/meshes/L Hip 1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://CMU/meshes/L Hip 1.STL,,Motor Connector 1-2,Origin_L Hip 1,Axis_L Hip 1,L Hip 1,revolute,-0.021005,0,0,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
L Hip 2,4.8095E-06,-4.8459E-06,-0.0023703,0,0,0,0.0010046,3.4397E-08,-4.7976E-23,5.9682E-24,4.567E-08,-1.6625E-23,1.5356E-08,0,0,0,0,0,0,package://CMU/meshes/L Hip 2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://CMU/meshes/L Hip 2.STL,,Motor Connector 2-2,Origin_L Hip 2,,L Hip 2,revolute,0,-0.013139,0.007699,-1.5708,1.2153,3.1416,L Hip 1,0,0,0,0,0,0,0,,,,,,,,
L Thigh,2.92E-05,-0.0079474,-0.00423,0,0,0,0.0025952,2.5712E-07,1.8198E-23,9.9262E-24,9.0735E-08,-6.7639E-08,1.8198E-07,0,0,0,0,0,0,package://CMU/meshes/L Thigh.STL,1,1,0,1,0,0,0,0,0,0,package://CMU/meshes/L Thigh.STL,,Thighs-2,Origin_L Thigh,,L Thigh,revolute,0,0,0,-1.4086,0,1.5708,L Hip 2,0,0,0,0,0,0,0,,,,,,,,
