Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.86498628959769E-08,0.00116844799147214,-0.00199056182136681,0,0,0,0.0299227589680342,4.64430780114595E-06,1.45948993644936E-11,7.00056514340351E-12,5.96248441172554E-06,7.65792898200086E-08,4.78982197003375E-06,0,0,0,0,0,0,package://CMU.SLDASM/meshes/base_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://CMU.SLDASM/meshes/base_link.STL,,Base Link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R Hip 1,-3.00471388825496E-07,-4.83657959842528E-06,0.0058197522890202,0,0,0,0.00049067295938797,9.79960981258842E-09,-1.86115637824431E-24,9.12861152574054E-25,1.27003133712708E-08,1.5390446516608E-23,4.84290883694006E-09,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R Hip 1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R Hip 1.STL,,Motor Connector 1-1,Origin_R Hip 1,Axis_R Hip 1,R Hip 1,revolute,0.021005,0,0,1.5708,-0.062045,0,base_link,0,0,1,0,0,0,0,,,,,,,,
R Hip 2,-1.39156174430721E-10,-1.14679487780989E-09,0.0107683298059861,0,0,0,0.00100456223004492,3.43974392373397E-08,4.54949336904165E-24,4.46858243754248E-24,4.56704869048962E-08,9.87552308348419E-25,1.53564582402189E-08,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R Hip 2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R Hip 2.STL,,Motor Connector 2-1,Origin_R Hip 2,Axis_R Hip 2,R Hip 2,revolute,0,0,0.0076962,1.5708,1.45,0,R Hip 1,0,0,1,0,0,0,0,,,,,,,,
R Thigh,3.40458762854261E-05,0.00899999999999256,-4.64558946866589E-15,0,0,0,0.00259524215854131,2.5711579287713E-07,-2.54365482985569E-19,1.94983013991E-20,5.47708788396037E-08,1.82150133967852E-19,2.1794549368145E-07,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R Thigh.STL,1,1,0,1,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R Thigh.STL,,Thighs-1,Origin_R Thigh,Axis_R Thigh,R Thigh,revolute,0,0,0.013139,1.9476,0,1.5708,R Hip 2,-1,0,0,0,0,0,0,,,,,,,,
R Foreleg,-6.31647512072675E-14,0.0208616954643258,-0.00148561443805893,0,0,0,0.00244939435652077,1.23016334442146E-06,1.13812235430508E-18,5.10006478475695E-20,4.37186901229747E-08,-7.21763846852377E-08,1.19609930818118E-06,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R Foreleg.STL,0,1,1,1,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R Foreleg.STL,,ForeShin-1,Origin_R Foreleg,Axis_R Foreleg,R Foreleg,revolute,0,0.018,0,-2.0409,0,3.1416,R Thigh,-1,0,0,0,0,0,0,,,,,,,,
R Shin,4.16581931406423E-05,0.0220307112180927,-0.00550832169754341,0,0,0,0.00129204638168326,4.33803544747724E-07,1.98250687548617E-09,-4.05058191267595E-10,5.92096369131144E-08,1.35892895157701E-07,3.79552483486921E-07,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R Shin.STL,1,0,0,1,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R Shin.STL,,Shin Right-1,Origin_R Shin,Axis_R Shin,R Shin,revolute,0,0.064516,0,-1.0363,0,0,R Foreleg,-1,0,0,0,0,0,0,,,,,,,,
R Foot,0.00196158784930957,-0.00495386725339735,1.6584516746021E-10,0,0,0,0.00051872426680286,3.099919841024E-09,5.53677175382017E-10,-9.03463020226434E-16,2.03818889804819E-08,-1.60772145819672E-16,2.17998844497553E-08,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R Foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R Foot.STL,,Foot-1,Origin_R Foot2,Axis_R Feet,R Foot,revolute,0,0.050358,-0.015572,-1.5708,1.1597,1.5708,R Shin,0,0,1,0,0,0,0,,,,,,,,
R_Servo,0.000823287373050596,-0.000486227731168444,5.18328518994693E-10,0,0,0,0.000108566149369813,5.20764811255309E-10,-1.55186013777784E-10,-2.37041276856506E-16,6.78013685642094E-10,-9.77022261900665E-17,9.03101565925093E-10,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R_Servo.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R_Servo.STL,,Servo 2-1,Origin_R Servo,Axis_R Servo,R_Servo,revolute,-0.002,0.012585,0,0,-1.1706,1.5708,R Shin,0,-1,0,0,0,0,0,,,,,,,,
R_Servo Joint,-1.48353551665537E-13,0.0193149999999995,-4.30488977798404E-14,0,0,0,5.90677466361002E-05,7.67849248203422E-09,7.70587817040539E-21,-4.13590306276514E-25,1.55957115728263E-11,1.84554407119658E-20,7.67827899614787E-09,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R_Servo Joint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R_Servo Joint.STL,,Linkage servo-1,Origin_R Servo Joint,Axis_R Servo Joint,R_Servo Joint,revolute,0.0075599,0,0,-1.5864,0,-1.5708,R_Servo,-1,0,0,0,0,0,0,,,,,,,,
R_Linkage,5.27217158818871E-14,0.0331958375326,6.02989880249538E-15,0,0,0,0.000113819103585905,4.88600388859055E-08,-5.09569676221272E-20,-4.508134338414E-23,7.27167695355048E-11,-7.3952725572111E-21,4.88062919669676E-08,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R_Linkage.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU.SLDASM/meshes/R_Linkage.STL,,Linkage 1-1,Origin_R Linkage,Axis_R Foreleg Linkage,R_Linkage,revolute,-0.00575,0,0,-1.0666,0,0,R Thigh,-1,0,0,0,0,0,0,,,,,,,,
