Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.86498628958111E-08,0.00199056182136681,0.00116844799147214,0,0,0,0.0299227589680342,4.64430780114595E-06,-7.0005651433834E-12,1.45948993644957E-11,4.78982197003375E-06,-7.65792898200085E-08,5.96248441172554E-06,0,0,0,0,0,0,package://CMU Mk 5/meshes/base_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://CMU Mk 5/meshes/base_link.STL,,Base Link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R_Hip_1,-3.00471388825496E-07,-4.83657959842528E-06,0.0058197522890202,0,0,0,0.00049067295938797,9.79960981258842E-09,-1.86115637824431E-24,9.20921624633488E-25,1.27003133712708E-08,1.53837706159451E-23,4.84290883694006E-09,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Hip_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Hip_1.STL,,Motor Connector 1-1,Origin_R Hip 1,Axis_R Hip 1,R_Hip_1,revolute,0.021005,0,0,1.5708,-0.062045,0,base_link,0,0,1,0,0,0,0,,,,,,,,
R_Hip_2,-1.39156174430721E-10,-1.14679487780989E-09,0.0107683298059861,0,0,0,0.00100456223004492,3.43974392373396E-08,4.54949336904165E-24,4.50726241351874E-24,4.56704869048962E-08,9.85995399814776E-25,1.53564582402189E-08,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Hip_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Hip_2.STL,,Motor Connector 2-1,Origin_R Hip 2,Axis_R Hip 2,R_Hip_2,revolute,0,0,0.0076962,1.5708,1.45,0,R_Hip_1,0,0,1,0,0,0,0,,,,,,,,
R_Thigh,3.40458762854226E-05,0.00899999999999177,-5.55978874050567E-15,0,0,0,0.00259524215854131,2.5711579287713E-07,-2.54358038360056E-19,1.94949926766498E-20,5.47708788396037E-08,1.82148479606627E-19,2.1794549368145E-07,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Thigh.STL,1,1,0,1,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Thigh.STL,,Thighs-1,Origin_R Thigh,Axis_R Thigh,R_Thigh,revolute,0,0,0.013139,1.9476,0,1.5708,R_Hip_2,-1,0,0,0,0,0,0,,,,,,,,
R_Foreleg,-6.31543428664116E-14,0.0208616954643244,-0.00148561443805957,0,0,0,0.00244939435652077,1.23016334442146E-06,1.13802805571525E-18,5.10138827373703E-20,4.37186901229748E-08,-7.21763846852377E-08,1.19609930818118E-06,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Foreleg.STL,0,1,1,1,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Foreleg.STL,,ForeShin-1,Origin_R Foreleg,Axis_R Foreleg,R_Foreleg,revolute,0,0.018,0,-2.0409,0,3.1416,R_Thigh,-1,0,0,0,0,0,0,,,,,,,,
R_Shin,4.16581931406458E-05,0.0220307112180864,-0.00550832169753876,0,0,0,0.00129204638168326,4.33803544747725E-07,1.9825068754861E-09,-4.05058191267532E-10,5.92096369131144E-08,1.35892895157701E-07,3.79552483486921E-07,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Shin.STL,1,0,0,1,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Shin.STL,,Shin Right-1,Origin_R Shin,Axis_R Shin,R_Shin,revolute,0,0.064516,0,-1.0363,0,0,R_Foreleg,-1,0,0,0,0,0,0,,,,,,,,
R_Foot,-1.65908339150311E-10,0.000576077817651913,-0.00529706893480722,0,0,0,0.000518724266802862,2.17998844497554E-08,-8.74320572580241E-16,-2.78661470285053E-16,7.30759983437215E-09,-7.43767324382255E-09,1.61742089871338E-08,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Foot.STL,,Foot-1,Origin_R Foot,Axis_R Feet,R_Foot,revolute,0,0.050358,-0.015576,1.4972,0,0,R_Shin,-1,0,0,0,0,0,0,,,,,,,,
R_Servo,0.000823287373076326,-0.000486227731168437,5.1837405201649E-10,0,0,0,0.000108566149369813,5.20764811255318E-10,-1.55186013777785E-10,-2.37037193893003E-16,6.78013685642107E-10,-9.7700567760793E-17,9.03101565925096E-10,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Servo.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Servo.STL,,Servo 2-1,Origin_R Servo,Axis_R Servo,R_Servo,revolute,-0.002,0.012585,0,0,-1.1706,1.5708,R_Shin,0,-1,0,0,0,0,0,,,,,,,,
R_Servo_Link,-1.48332734983825E-13,0.0193150000000451,-4.84334794492725E-15,0,0,0,5.90677466361003E-05,7.67849248203425E-09,7.7005502669604E-21,1.70606001339062E-24,1.55957115728424E-11,1.01657621537669E-20,7.67827899614791E-09,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Servo_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Servo_Link.STL,,Linkage servo-1,Origin_R Servo Joint,Axis_R Servo Joint,R_Servo_Link,revolute,0.0075599,0,0,-1.5864,0,-1.5708,R_Servo,-1,0,0,0,0,0,0,,,,,,,,
R_Linkage,5.27217158818871E-14,0.0331958375326,6.13398221105399E-15,0,0,0,0.000113819103585905,4.88600388859055E-08,-5.09537388712401E-20,-4.508134338414E-23,7.27167695355401E-11,-7.41463375342367E-21,4.88062919669676E-08,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Linkage.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU Mk 5/meshes/R_Linkage.STL,,Linkage 1-1,Origin_R Linkage,Axis_R Foreleg Linkage,R_Linkage,revolute,-0.00575,0,0,-1.0666,0,0,R_Thigh,-1,0,0,0,0,0,0,,,,,,,,
L_Hip_1,0,-4.84590396801472E-06,0.00581975228901994,0,0,0,0.000490672959387971,9.79960981258834E-09,4.08478081521154E-18,-9.99528057900668E-25,1.27003133712708E-08,-2.94397948256436E-24,4.84290883693998E-09,0,0,0,0,0,0,package://CMU Mk 5/meshes/L_Hip_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU Mk 5/meshes/L_Hip_1.STL,,Motor Connector 1-2,Origin_L Hip 1,Axis_L Hip 1,L_Hip_1,revolute,-0.021005,0,0,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
L_Hip_2,4.80947079567473E-06,-4.84590073264457E-06,-0.00237034069190085,0,0,0,0.00100456223004492,3.43974392373392E-08,-7.94093388050907E-23,-6.59539469162036E-18,4.56704869048961E-08,4.13768165473344E-17,1.53564582402184E-08,0,0,0,0,0,0,package://CMU Mk 5/meshes/L_Hip_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CMU Mk 5/meshes/L_Hip_2.STL,,Motor Connector 2-2,Origin_L Hip 2,Axis_L Hip 2,L_Hip_2,revolute,0,-0.013139,0.0076997,-1.5708,1.3223,3.1416,L_Hip_1,0,0,1,0,0,0,0,,,,,,,,
L_Thigh,3.88917848276257E-05,-0.00795040968252924,-0.00422240322332984,0,0,0,0.00259524215854131,2.5711579287713E-07,7.37569241663014E-17,8.19304992853686E-17,9.07351429374605E-08,-6.76389432955442E-08,1.81981229583593E-07,0,0,0,0,0,0,package://CMU Mk 5/meshes/L_Thigh.STL,1,1,0,1,0,0,0,0,0,0,package://CMU Mk 5/meshes/L_Thigh.STL,,Thighs-2,Origin_L Thigh,Axis_L Thigh,L_Thigh,revolute,0,0,0,-2.4963,0,-1.5708,L_Hip_2,-1,0,0,0,0,0,0,,,,,,,,
